No,地域,slug,区分,人口,街の性格,分野,分野slug,推奨URLパス,優先度,判定メモ,枝(目安),状態
1,千代田区,chiyoda,区,68903,オフィス・皇居・文化,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/chiyoda/,B,標準,2-3,
2,千代田区,chiyoda,区,68903,オフィス・皇居・文化,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/chiyoda/,D,原則対象外/親統合,0,
3,千代田区,chiyoda,区,68903,オフィス・皇居・文化,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/chiyoda/,D,原則対象外/親統合,0,
4,千代田区,chiyoda,区,68903,オフィス・皇居・文化,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/chiyoda/,C,薄め/様子見,1-2,
5,千代田区,chiyoda,区,68903,オフィス・皇居・文化,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/chiyoda/,B,標準,2-3,
6,千代田区,chiyoda,区,68903,オフィス・皇居・文化,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/chiyoda/,C,薄め/様子見,1-2,
7,千代田区,chiyoda,区,68903,オフィス・皇居・文化,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/chiyoda/,C,薄め/様子見,1-2,
8,千代田区,chiyoda,区,68903,オフィス・皇居・文化,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/chiyoda/,C,薄め/様子見,1-2,
9,千代田区,chiyoda,区,68903,オフィス・皇居・文化,コワーキング・シェアオフィス,coworking,/stories/coworking/chiyoda/,B,標準,2-3,
10,千代田区,chiyoda,区,68903,オフィス・皇居・文化,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/chiyoda/,C,薄め/様子見,1-2,
11,千代田区,chiyoda,区,68903,オフィス・皇居・文化,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/chiyoda/,D,都心は対象外/親統合,0,
12,千代田区,chiyoda,区,68903,オフィス・皇居・文化,リトリート・禅体験,retreat-zen,/stories/retreat-zen/chiyoda/,B,標準,2-3,
13,千代田区,chiyoda,区,68903,オフィス・皇居・文化,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/chiyoda/,B,標準,2-3,
14,千代田区,chiyoda,区,68903,オフィス・皇居・文化,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/chiyoda/,B,標準,2-3,
15,千代田区,chiyoda,区,68903,オフィス・皇居・文化,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/chiyoda/,B,標準,2-3,
16,中央区,chuo,区,188986,銀座・商業・老舗,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/chuo/,C,薄め/様子見,1-2,
17,中央区,chuo,区,188986,銀座・商業・老舗,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/chuo/,D,原則対象外/親統合,0,
18,中央区,chuo,区,188986,銀座・商業・老舗,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/chuo/,D,原則対象外/親統合,0,
19,中央区,chuo,区,188986,銀座・商業・老舗,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/chuo/,A,主力・最優先,3-5,
20,中央区,chuo,区,188986,銀座・商業・老舗,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/chuo/,C,薄め/様子見,1-2,
21,中央区,chuo,区,188986,銀座・商業・老舗,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/chuo/,B,標準,2-3,
22,中央区,chuo,区,188986,銀座・商業・老舗,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/chuo/,C,薄め/様子見,1-2,
23,中央区,chuo,区,188986,銀座・商業・老舗,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/chuo/,C,薄め/様子見,1-2,
24,中央区,chuo,区,188986,銀座・商業・老舗,コワーキング・シェアオフィス,coworking,/stories/coworking/chuo/,C,薄め/様子見,1-2,
25,中央区,chuo,区,188986,銀座・商業・老舗,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/chuo/,C,薄め/様子見,1-2,
26,中央区,chuo,区,188986,銀座・商業・老舗,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/chuo/,D,都心は対象外/親統合,0,
27,中央区,chuo,区,188986,銀座・商業・老舗,リトリート・禅体験,retreat-zen,/stories/retreat-zen/chuo/,C,薄め/様子見,1-2,
28,中央区,chuo,区,188986,銀座・商業・老舗,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/chuo/,C,薄め/様子見,1-2,
29,中央区,chuo,区,188986,銀座・商業・老舗,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/chuo/,C,薄め/様子見,1-2,
30,中央区,chuo,区,188986,銀座・商業・老舗,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/chuo/,B,標準,2-3,
31,港区,minato,区,270588,高級・ビジネス・国際,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/minato/,A,主力・最優先,3-5,
32,港区,minato,区,270588,高級・ビジネス・国際,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/minato/,D,原則対象外/親統合,0,
33,港区,minato,区,270588,高級・ビジネス・国際,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/minato/,D,原則対象外/親統合,0,
34,港区,minato,区,270588,高級・ビジネス・国際,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/minato/,A,主力・最優先,3-5,
35,港区,minato,区,270588,高級・ビジネス・国際,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/minato/,C,薄め/様子見,1-2,
36,港区,minato,区,270588,高級・ビジネス・国際,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/minato/,B,標準,2-3,
37,港区,minato,区,270588,高級・ビジネス・国際,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/minato/,A,主力・最優先,3-5,
38,港区,minato,区,270588,高級・ビジネス・国際,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/minato/,B,標準,2-3,
39,港区,minato,区,270588,高級・ビジネス・国際,コワーキング・シェアオフィス,coworking,/stories/coworking/minato/,B,標準,2-3,
